#Wavelength,	QER1,	QEG1,	QEB1,	QER2,	QEG2,	QEB2,	Scout,	Telescope,	total 
6.400000000000000000e+02 2.580000000000000071e-01 2.000000000000000042e-02 4.000000000000000083e-03 2.550000000000000044e-01 3.200000000000000067e-02 1.600000000000000033e-02 9.919325256000000035e-01 7.892400000000000526e-01 2.372104664308768984e-01
6.450000000000000000e+02 2.530000000000000027e-01 1.700000000000000122e-02 4.000000000000000083e-03 2.469999999999999973e-01 2.999999999999999889e-02 1.799999999999999864e-02 9.917247009000000890e-01 7.886699999999999822e-01 2.307323383583469445e-01
6.500000000000000000e+02 2.429999999999999938e-01 1.499999999999999944e-02 5.000000000000000104e-03 2.369999999999999885e-01 2.800000000000000058e-02 2.000000000000000042e-02 9.819695282000000525e-01 7.881000000000000227e-01 2.205587027747097362e-01
6.550000000000000000e+02 2.369999999999999885e-01 1.400000000000000029e-02 6.000000000000000125e-03 2.340000000000000135e-01 2.800000000000000058e-02 2.199999999999999872e-02 9.879933929000001003e-01 7.872000000000000108e-01 2.208805452850099993e-01
6.600000000000000000e+02 2.330000000000000127e-01 1.499999999999999944e-02 6.000000000000000125e-03 2.300000000000000100e-01 2.999999999999999889e-02 2.500000000000000139e-02 9.940391540999999886e-01 7.862999999999999989e-01 2.227597012576165991e-01
6.650000000000000000e+02 2.260000000000000064e-01 1.600000000000000033e-02 7.000000000000000146e-03 2.220000000000000029e-01 3.300000000000000155e-02 2.699999999999999969e-02 9.865572357000000903e-01 7.853999999999999870e-01 2.185054589230959743e-01
6.700000000000000000e+02 2.200000000000000011e-01 1.899999999999999953e-02 7.000000000000000146e-03 2.159999999999999976e-01 3.699999999999999817e-02 2.800000000000000058e-02 9.840863036999999425e-01 7.844999999999999751e-01 2.169364131759946301e-01
6.750000000000000000e+02 2.129999999999999949e-01 2.199999999999999872e-02 7.000000000000000146e-03 2.109999999999999931e-01 4.200000000000000261e-02 2.800000000000000058e-02 9.934660338999999896e-01 7.836000000000000743e-01 2.187528755500952604e-01
6.800000000000000000e+02 2.069999999999999896e-01 2.699999999999999969e-02 7.000000000000000146e-03 2.030000000000000138e-01 4.599999999999999922e-02 2.800000000000000058e-02 9.907064818999999911e-01 7.827000000000000624e-01 2.147929918571270524e-01
6.850000000000000000e+02 2.000000000000000111e-01 3.099999999999999978e-02 7.000000000000000146e-03 1.950000000000000067e-01 5.099999999999999672e-02 2.800000000000000058e-02 9.865081023999999754e-01 7.818000000000000504e-01 2.113230574410316920e-01
